GameId,GameName
151,StarCraft II
164,League of Legends
177,Age of Empires III
178,Age of Mythology
179,Age of Empires II
204,Super Smash Bros. Melee
231,Dota 2
245,Counter-Strike: Global Offensive
328,Hearthstone
345,World of Tanks
409,Rocket League
439,Rainbow Six Siege
445,Hearthstone Battlegrounds
464,Clash Royale
473,Critical Ops
499,Quake Champions
504,PLAYERUNKNOWN’S BATTLEGROUNDS
507,Clash of Clans
510,Age of Empires
525,osu!
529,Arena of Valor
531,Mobile Legends: Bang Bang
534,Fortnite
547,Chess.com
554,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
559,Minecraft
566,Apex Legends
586,Brawl Stars
592,Teamfight Tactics
598,Free Fire
628,Tetris
638,WarCraft III: Reforged
646,VALORANT
655,Trackmania (2020)
724,Tetris Effect: Connected
746,Age of Empires IV
757,Pokemon Unite
761,King of Fighters XV
762,StarCraft: Remastered
780,Naraka: Bladepoint
792,Overwatch 2
806,Pokémon GO
837,Street Fighter 6
839,Counter-Strike 2
849,Rennsport
853,GeoGuessr
856,Tekken 8
859,Stormgate
864,Forza Motorsport (2023)
868,StarCraft: Evo Complete (Mod)
869,Deadlock
872,Pokémon TCG Pocket
874,EA Sports FC 25
875,Call of Duty: Black Ops 6
876,Marvel Rivals
