TournamentId,GameId,TournamentName,StartDate,EndDate,Location,Teamplay,TotalUSDPrize,GameName,Year
73230,559,MCSR Ranked Playoffs Season 8,2025-08-30,2025-09-07,Online,0,5000.00,Minecraft,2025
73234,409,Raidiant Invitational,2025-09-07,2025-09-07,Online,1,10000.00,Rocket League,2025
73235,409,Champions Road 2025 - 3v3 Open: APAC,2025-09-03,2025-09-04,Online,1,16650.00,Rocket League,2025
73229,409,Champions Road 2025 - 3v3 Open: EU,2025-09-02,2025-09-04,Online,1,54750.00,Rocket League,2025
73236,409,Champions Road 2025 - 3v3 Open: SSA,2025-09-03,2025-09-04,Online,1,16650.00,Rocket League,2025
73222,559,Dedsafio Speedrun AA,2025-06-10,2025-09-04,Online,0,2000.00,Minecraft,2025
73218,409,Champions Road 2025 - 1v1 Open: APAC,2025-08-30,2025-08-31,Online,0,5550.00,Rocket League,2025
73224,409,Champions Road 2025 - 1v1 Open: EU,2025-08-29,2025-08-31,Online,0,18250.00,Rocket League,2025
73219,409,Champions Road 2025 - 1v1 Open: NA,2025-08-29,2025-08-31,Online,0,18250.00,Rocket League,2025
73233,409,Champions Road 2025 - 1v1 Open: OCE,2025-08-29,2025-08-31,Online,0,11150.00,Rocket League,2025
73226,409,Champions Road 2025 - 1v1 Open: SAM,2025-08-29,2025-08-31,Online,0,11150.00,Rocket League,2025
73220,409,Champions Road 2025 - 1v1 Open: SSA,2025-08-30,2025-08-31,Online,0,5550.00,Rocket League,2025
73216,409,Champions Road 2025 - 1v1 Open: MENA,2025-08-28,2025-08-30,Online,0,11150.00,Rocket League,2025
73213,409,dedsafio: Rocket League League 2,2025-08-30,2025-08-30,Online,1,6000.00,Rocket League,2025
73215,409,GG Vasara,2025-08-30,2025-08-30,"Kaunas, Lithuania",1,1168.50,Rocket League,2025
73214,409,Tournoi SAFE x Rigel,2025-08-30,2025-08-30,"Nice, France",1,2336.99,Rocket League,2025
73202,409,Champions Road 2025 - 2v2 Open: APAC,2025-08-27,2025-08-28,Online,1,11100.00,Rocket League,2025
73207,409,Champions Road 2025 - 2v2 Open: EU,2025-08-26,2025-08-28,Online,1,36500.00,Rocket League,2025
73209,409,Champions Road 2025 - 2v2 Open: NA,2025-08-26,2025-08-28,Online,1,36500.00,Rocket League,2025
73211,409,Champions Road 2025 - 2v2 Open: OCE,2025-08-27,2025-08-28,Online,1,22700.00,Rocket League,2025
73206,409,Champions Road 2025 - 2v2 Open: SAM,2025-08-26,2025-08-28,Online,1,22700.00,Rocket League,2025
73203,409,Champions Road 2025 - 2v2 Open: SSA,2025-08-27,2025-08-28,Online,1,11100.00,Rocket League,2025
73201,409,Champions Road 2025 - 2v2 Open: MENA,2025-08-25,2025-08-27,Online,1,22700.00,Rocket League,2025
73166,409,Bell Esports Challenge 2025 (RL),2025-08-24,2025-08-24,"Toronto, Canada",1,16605.61,Rocket League,2025
73170,510,Liên Tỉnh 2025: Finals,2025-08-23,2025-08-23,"Cần Thơ, Vietnam",0,2277.04,Age of Empires,2025
73149,409,Esports World Cup 2025 (RL),2025-08-14,2025-08-17,"Riyadh, Saudi Arabia",1,1010000.00,Rocket League,2025
73143,559,Archaic GG 5V5 Tourney $500 August 16 2025,2025-08-16,2025-08-16,Online,1,500.00,Minecraft,2025
73156,510,Đại Chiến Sinh Nhật EGO Play 2025,2025-08-15,2025-08-15,"Hanoi, Vietnam",1,685.32,Age of Empires,2025
73122,559,"$1,000 Every Minute You Survive, ft MrBeast",2025-08-09,2025-08-09,Online,0,33820.00,Minecraft,2025
73221,853,GeoGuessr ESC Corporate Cup #1,2025-08-08,2025-08-08,online,0,55.00,GeoGuessr,2025
73066,534,$500 Frosty Builds Cup,2025-08-05,2025-08-05,Europe,1,300.00,Fortnite,2025
73086,839,CCT Season 3 SA Series #2,2025-07-24,2025-08-05,Online,1,20000.00,Counter-Strike 2,2025
